rr,A_frequency,NS_frequency,CNAME_frequency,SOA_frequency,NULL_frequency,PTR_frequency,HINFO_frequency,MX_frequency,TXT_frequency,AAAA_frequency,SRV_frequency,OPT_frequency,rr_type,rr_count,rr_name_entropy,rr_name_length,distinct_ns,distinct_ip,unique_country,unique_asn,distinct_domains,reverse_dns,a_records,unique_ttl,ttl_mean,ttl_variance,class
0,0,0,0,0,0,1,0,0,0,0,0,0,{'PTR'},0,3.222242925,27,0,set(),set(),set(),{},unknown,0,[1],1,0,0
0,0,0,0,0,0,6,0,0,0,0,0,0,{'PTR'},0,3.146083994,25,0,set(),set(),set(),{},unknown,0,"[1, 1, 1, 1, 1, 1]",1,0,0
0,0,0,0,0,0,6,0,0,0,0,0,0,{'PTR'},0,3.223293925,27,0,set(),set(),set(),{},unknown,0,"[1, 1, 1, 1, 1, 1]",1,0,0
0,0,0,0,0,0,6,0,0,0,0,0,0,{'PTR'},0,3.222463437,27,0,set(),set(),set(),{},unknown,0,"[1, 1, 1, 1, 1, 1]",1,0,0
0,0,0,0,0,0,10,0,0,0,0,0,0,{'PTR'},0,3.10273059,24,0,set(),set(),set(),{},unknown,0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,0,0
0,0,0,0,0,0,2,0,0,0,0,0,0,{'PTR'},0,3.146318645,25,0,set(),set(),set(),{},unknown,0,"[1, 1]",1,0,0
0,0,0,0,0,0,2,0,0,0,0,0,0,{'PTR'},0,3.261724577,28,0,set(),set(),set(),{},unknown,0,"[1, 1]",1,0,0
0,0,0,0,0,0,4,0,0,0,0,0,0,{'PTR'},0,3.185808721,26,0,set(),set(),set(),{},unknown,0,"[1, 1, 1, 1]",1,0,0
0,0,0,0,0,0,6,0,0,0,0,0,0,{'PTR'},0,3.223293925,27,0,set(),set(),set(),{},unknown,0,"[1, 1, 1, 1, 1, 1]",1,0,0
0,0,0,0,0,0,8,0,0,0,0,0,0,{'PTR'},0,3.10273059,24,0,set(),set(),set(),{},unknown,0,"[1, 1, 1, 1, 1, 1, 1, 1]",1,0,0
0,0,0,0,0,0,6,0,0,0,0,0,0,{'PTR'},0,3.222463437,27,0,set(),set(),set(),{},unknown,0,"[1, 1, 1, 1, 1, 1]",1,0,0
0,0,0,0,0,0,2,0,0,0,0,0,0,{'PTR'},0,3.185808721,26,0,set(),set(),set(),{},unknown,0,"[1, 1]",1,0,0
0,0,0,0,0,0,4,0,0,0,0,0,0,{'PTR'},0,3.222242925,27,0,set(),set(),set(),{},unknown,0,"[1, 1, 1, 1]",1,0,0
4,4,0,0,0,0,0,0,0,0,0,0,0,{'A'},2,2.608017044,14,1,set(),{'DE'},{'AS24940'},{'88.198.28.40': {'dvg-gestalt.de'}},www299.your-server.de,0,"[128, 128, 122, 122]",125,9,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.85312457,18,1,set(),{'DE'},{'AS24940'},{'88.198.28.40': {'www.dvg-gestalt.de'}},www299.your-server.de,0,"[128, 122]",125,9,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.464488688,12,1,set(),{'US'},{'AS26496'},{'50.62.6.133': {'dxgalaxy.com'}},ip-50-62-6-133.ip.secureserver.net,0,"[128, 122]",125,9,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.742874027,16,1,set(),{'US'},{'AS26496'},{'50.62.6.133': {'www.dxgalaxy.com'}},ip-50-62-6-133.ip.secureserver.net,0,"[128, 122]",125,9,0
1,1,0,0,0,0,0,0,0,0,0,0,0,{'A'},0,1.73925535,6,0,set(),set(),set(),{},unknown,0,[128],128,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,{'A'},0,2.521059486,13,0,set(),set(),set(),{},unknown,0,[128],128,0,0
0,0,0,0,0,0,2,0,0,0,0,0,0,{'PTR'},0,3.146083994,25,0,set(),set(),set(),{},unknown,0,"[1, 1]",1,0,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.807497957,17,1,set(),{'CH'},{'AS51776'},{'91.199.175.246': {'easycredit-bbl.de'}},unknown,0,"[128, 122]",125,9,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},0,3.01245529,21,0,set(),set(),set(),{},unknown,0,"[128, 128]",128,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,{'PTR'},0,2.745693732,16,0,set(),set(),set(),{},unknown,0,[255],255,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,{'PTR'},0,2.991047456,21,0,set(),set(),set(),{},unknown,0,[255],255,0,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.172729373,9,1,set(),{'US'},{'AS15169'},{'34.89.135.24': {'eatbu.com'}},24.135.89.34.bc.googleusercontent.com,0,"[128, 122]",125,9,0
0,0,0,0,0,0,11,0,0,0,0,0,0,{'PTR'},0,3.10273059,24,0,set(),set(),set(),{},unknown,0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,{'A'},0,2.467160994,12,0,set(),set(),set(),{},unknown,0,[128],128,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,{'A'},0,2.744735049,16,0,set(),set(),set(),{},unknown,0,[128],128,0,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.607435303,14,1,set(),{'US'},{'AS13335'},{'172.64.86.151': {'edels-stube.eu'}},unknown,0,"[128, 122]",125,9,0
0,0,0,0,0,0,2,0,0,0,0,0,0,{'PTR'},0,3.222463437,27,0,set(),set(),set(),{},unknown,0,"[1, 1]",1,0,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.466108557,12,1,set(),{'NL'},{'AS204601'},{'185.92.148.14': {'edmboost.org'}},vm831271.had.su,0,"[128, 122]",125,9,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.378410634,11,1,set(),{'FR'},{'AS16276'},{'51.79.78.181': {'edmfull.com'}},caprm30.fastcpanelserver.com,0,"[128, 122]",125,9,0
0,0,0,0,0,0,2,0,0,0,0,0,0,{'PTR'},0,3.146318645,25,0,set(),set(),set(),{},unknown,0,"[1, 1]",1,0,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.819922875,17,1,set(),{'US'},{'AS15169'},{'35.198.117.80': {'einfachflirts.com'}},80.117.198.35.bc.googleusercontent.com,0,"[128, 122]",125,9,0
1,1,0,0,0,0,0,0,0,0,0,0,0,{'A'},0,3.022814414,21,0,set(),set(),set(),{},unknown,0,[128],128,0,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,3.116823827,23,0,set(),set(),set(),{},unknown,0,"[128, 122]",125,9,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.466763114,12,1,set(),{'DE'},{'AS24940'},{'213.133.121.12': {'einstieg.com'}},dedi3262.your-server.de,0,"[128, 122]",125,9,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.744548178,16,1,set(),{'DE'},{'AS24940'},{'213.133.121.12': {'www.einstieg.com'}},dedi3262.your-server.de,0,"[128, 122]",125,9,0
4,4,0,0,0,0,0,0,0,0,0,0,0,{'A'},2,2.448088424,12,1,set(),{'RU'},{'AS198610'},{'87.236.16.15': {'eko-group.ru'}},ssl.callisto.beget.com,0,"[128, 128, 122, 122]",125,9,0
4,4,0,0,0,0,0,0,0,0,0,0,0,{'A'},2,2.931508725,19,1,set(),{'US'},{'AS15169'},{'35.214.251.212': {'ekologickaznamka.cz'}},212.251.214.35.bc.googleusercontent.com,0,"[128, 128, 122, 122]",125,9,0
0,0,0,0,0,0,2,0,0,0,0,0,0,{'PTR'},0,3.185808721,26,0,set(),set(),set(),{},unknown,0,"[1, 1]",1,0,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},0,3.114836453,23,0,set(),set(),set(),{},unknown,0,"[128, 128]",128,0,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.692995595,15,1,set(),{'US'},{'AS16509'},{'52.28.137.111': {'electrogiant.de'}},ec2-52-28-137-111.eu-central-1.compute.amazonaws.com,0,"[128, 122]",125,9,0
1,1,0,0,0,0,0,0,0,0,0,0,0,{'A'},0,2.920413792,19,0,set(),set(),set(),{},unknown,0,[128],128,0,0
0,0,0,0,0,0,9,0,0,0,0,0,0,{'PTR'},0,3.10273059,24,0,set(),set(),set(),{},unknown,0,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",1,0,0
0,0,0,0,0,0,4,0,0,0,0,0,0,{'PTR'},0,3.185808721,26,0,set(),set(),set(),{},unknown,0,"[1, 1, 1, 1]",1,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,{'A'},0,3.24801032,26,0,set(),set(),set(),{},unknown,0,[128],128,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,{'A'},0,3.351771722,29,0,set(),set(),set(),{},unknown,0,[128],128,0,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.280448082,10,1,set(),{'DE'},{'AS44066'},{'31.172.86.82': {'elpotec.eu'}},shop035.jtl-hosting.de,0,"[128, 122]",125,9,0
0,0,0,0,0,0,0,0,0,0,0,0,0,{None},0,2.689019008,15,0,set(),set(),set(),{},unknown,0,"[1, 1]",1,0,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,1.914131897,7,1,set(),{'DE'},{'AS6724'},{'81.169.145.64': {'else.tv'}},w00.rzone.de,0,"[128, 122]",125,9,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.933064237,19,1,set(),{'US'},{'AS13335'},{'172.64.88.151': {'emmikochteinfach.de'}},unknown,0,"[128, 122]",125,9,0
0,0,0,0,0,0,6,0,0,0,0,0,0,{'PTR'},0,3.222242925,27,0,set(),set(),set(),{},unknown,0,"[1, 1, 1, 1, 1, 1]",1,0,0
4,4,0,0,0,0,0,0,0,0,0,0,0,{'A'},2,2.98414359,20,1,set(),{'TR'},{'AS42926'},{'89.252.184.188': {'englishlearnsite.com'}},188xgpt5c.guzel.net.tr,0,"[128, 128, 122, 122]",125,9,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},0,3.158863124,24,0,set(),set(),set(),{},unknown,0,"[128, 128]",128,0,0
